Nyomtatvany,Kod,Adoazon,Adattípus,Max_hossz,Lap,Sor,Oszlop,Dinamikus,EAzon,Kihagyva,Megnevezes
2408M,23541,kivonatolt_adozo_csaladi_nev,S,150,2408M,0,0,F,23541,F,
2408M,23542,kivonatolt_csaladi_nev,S,150,2408M,0,0,F,23542,F,
2408M,23543,kivonatolt_elozo_csaladi_nev,S,150,2408M,0,0,F,23543,F,
2408M,23544,kivonatolt_szul_csaladi_nev,S,150,2408M,0,0,F,23544,F,
2408M,23545,kivonatolt_anyja_csaladi_nev,S,150,2408M,0,0,F,23545,F,
2408M,23547,kivonatolt_szul_ido,S,150,2408M,0,0,F,23547,F,
2408M,23548,kivonatolt_fejlec_nev_04,S,150,2408M-04,0,0,F,23548,F,
2408M,23549,kivonatolt_fejlec_nev_07,S,150,2408M-07,0,0,F,23549,F,
2408M,23553,kivonatolt_fejlec_nev_08,S,150,2408M-08,0,0,T,23553,F,
2408M,23558,kivonatolt_fejlec_nev_09,S,150,2408M-09,0,0,T,23558,F,
2408M,23562,kivonatolt_fejlec_nev_10,S,150,2408M-10,0,0,T,23562,F,
2408M,23568,kivonatolt_fejlec_nev_11,S,150,2408M-11,0,0,T,23568,F,
2408M,23571,kivonatolt_fejlec_nev_12,S,150,2408M-12,0,0,T,23571,F,
2408M,23574,kivonatolt_bevall_ido,S,150,2408M,0,0,F,23574,F,
2408M,23575,kivonatolt_alkmin_kod_08,S,150,2408M-08,0,0,T,23575,F,
2408M,23576,kivonatolt_biz_jogviszony_08,S,150,2408M-08,0,0,T,23576,F,
2408M,23577,kivonatolt_biz_jogviszony_09,S,150,2408M-09,0,0,T,23577,F,
2408M,23578,kivonatolt_alkmin_kod_09,S,150,2408M-09,0,0,T,23578,F,
2408M,23581,kivonatolt_alkmin_kod_10,S,150,2408M-10,0,0,T,23581,F,
2408M,23582,kivonatolt_biz_jogviszony_10,S,150,2408M-10,0,0,T,23582,F,
2408M,23585,kivonatolt_alkmin_kod_11,S,150,2408M-11,0,0,T,23585,F,
2408M,23586,kivonatolt_biz_jogviszony_11,S,150,2408M-11,0,0,T,23586,F,
2408M,23587,kivonatolt_alkmin_kod_12,S,150,2408M-12,0,0,T,23587,F,
2408M,23774,A037_A,N,15,2408M,0,0,F,23774,F,
2408M,23775,A032_A,N,15,2408M,0,0,F,23775,F,
2408M,23776,A033_A,N,15,2408M,0,0,F,23776,F,
2408M,23777,alkminnykod08_A033_M,N,11,2408M-08,0,0,T,23777,F,
2408M,23778,alkminnykod09_A033_M,N,11,2408M-09,0,0,T,23778,F,
2408M,23779,alkminnykod10_A033_M,N,11,2408M-10,0,0,T,23779,F,
